rank,player,country,confederation,position,attempts_at_goal
53,Yasin Ayari,Sweden,UEFA,Midfielder,7
54,Pedro Porro,Spain,UEFA,Defender,7
55,Nicolas Jackson,Senegal,CAF,Forward,7
56,Fabian Rieder,Switzerland,UEFA,Midfielder,7
57,Neil El Aynaoui,Morocco,CAF,Midfielder,7
58,Nico Oreilly,England,UEFA,Defender,7
59,Elliot Anderson,England,UEFA,Midfielder,7
60,Dodi Lukebakio,Belgium,UEFA,Forward,7
61,Charles De Ketelaere,Belgium,UEFA,Forward,6
62,Ruben Vargas,Switzerland,UEFA,Forward,6
63,Anthony Gordon,England,UEFA,Forward,6
64,Deniz Undav,Germany,UEFA,Forward,6
65,Bilal El Khannouss,Morocco,CAF,Midfielder,6
66,Soufiane Rahimi,Morocco,CAF,Forward,6
67,Riyad Mahrez,Algeria,CAF,Forward,6
68,Johan Manzambi,Switzerland,UEFA,Midfielder,6
69,Sadio Mane,Senegal,CAF,Forward,6
70,Nicolas Pepe,Ivory Coast,CAF,Forward,6
71,Declan Rice,England,UEFA,Midfielder,6
72,Romelu Lukaku,Belgium,UEFA,Forward,6
73,Manu Kone,France,UEFA,Midfielder,6
74,Leroy Sane,Germany,UEFA,Midfielder,6
75,Antonio Nusa,Norway,UEFA,Forward,6
76,Merih Demiral,Türkiye,UEFA,Defender,6
77,Noni Madueke,England,UEFA,Forward,6
78,Jamal Musiala,Germany,UEFA,Midfielder,6
79,Joao Felix,Portugal,UEFA,Forward,6
80,Brahim Diaz,Morocco,CAF,Forward,6
81,Brian Cipenga,DR Congo,CAF,Forward,6
82,Mateo Kovacic,Croatia,UEFA,Midfielder,5
